RShoulderPitch,RShoulderRoll,localX,localY,localZ
-2.08567,-1.56207,0.0205973901842865,0.9383801685509147,-0.3449904444878917
-2.08567,-1.4803150868421053,0.034242842219910745,0.9641426529676221,-0.2631660549638904
-2.08567,-1.3985601736842106,0.04820805223011905,0.9831238403247687,-0.17647520586546095
-2.08567,-1.3168052605263159,0.0619190694136425,0.9941588521616979,-0.08839799495171813
-2.08567,-1.2350503473684211,0.07525777276733357,0.9971640709364553,0.0002885680793833439
-2.08567,-1.1532954342105264,0.08810585910990047,0.992148269635582,0.0887646813187933
-2.08567,-1.0715405210526316,0.10034941220416292,0.9792170676540071,0.17624962378787307
-2.08567,-0.9897856078947369,0.11190937369472749,0.9585131937472664,0.2621616857812539
-2.08567,-0.9080306947368422,0.12261409118247336,0.9304919354832953,0.3451818979089824
-2.08567,-0.8262757815789474,0.1324892572657507,0.8952485036090632,0.4254135793494409
-2.08567,-0.7445208684210527,0.14139915076428006,0.8534025773009769,0.5017074059839963
-2.08567,-0.662765955263158,0.1493101744116808,0.8053462947335585,0.5736931386865995
-2.08567,-0.5810110421052632,0.15617883297759147,0.7515835944661811,0.6408824171866885
-2.08567,-0.4992561289473685,0.16197491104753897,0.6926479108512085,0.7028534696397238
-2.08567,-0.41750121578947375,0.16667443373873206,0.6290979390960943,0.7592466108998575
-2.08567,-0.335746302631579,0.17027014895030937,0.5615061101273616,0.8097647588442453
-2.08567,-0.25399138947368427,0.1727596438405997,0.4904546903225855,0.8541711199757611
-2.08567,-0.17223647631578953,0.1741487003879584,0.41653106612398494,0.8922858853006707
-2.08567,-0.0904815631578948,0.17445348177365505,0.340394669327563,0.9239574945799336
-2.08567,-0.00872665,0.17370209502063721,0.2624439703192081,0.9491842522021382
-1.866125789473684,-1.56207,0.036155016606832395,0.9395383624369283,-0.3405297054347752
-1.866125789473684,-1.4803150868421053,0.030938499482430236,0.965105520684067,-0.2600271970292946
-1.866125789473684,-1.3985601736842106,0.02531797864836862,0.9845764747266593,-0.17311315770901056
-1.866125789473684,-1.3168052605263159,0.019544561398671008,0.9963203574566676,-0.08344911885185916
-1.866125789473684,-1.2350503473684211,0.013792074927672225,0.9998844823123485,0.006387542575706841
-1.866125789473684,-1.1532954342105264,0.008080805718729753,0.9953470242038235,0.09601563407867156
-1.866125789473684,-1.0715405210526316,0.0024563115670931815,0.9828149521585793,0.18457718262833722
-1.866125789473684,-0.9897856078947369,-0.003034442530720963,0.9624279125280532,0.2715203589888276
-1.866125789473684,-0.9080306947368422,-0.008282516177406309,0.934805093347476,0.3550645538171728
-1.866125789473684,-0.8262757815789474,-0.013347745777447332,0.899796279566811,0.4361060570095146
-1.866125789473684,-0.7445208684210527,-0.018128610724081885,0.8581791604369479,0.5130300985955404
-1.866125789473684,-0.662765955263158,-0.02262344309526993,0.8101470905825152,0.5857899550548822
-1.866125789473684,-0.5810110421052632,-0.026764406996986356,0.7566432310837619,0.653279945638334
-1.866125789473684,-0.4992561289473685,-0.030556850315282717,0.6978541206200841,0.7155878039991866
-1.866125789473684,-0.41750121578947375,-0.033979886510479104,0.6343405069507747,0.7723066026871512
